,long,lat,OBJECTID,ID_Map,Ice,Snow,VV
0,514623.31039932277,6892175.330853996,23,,,8.0,-17.27075958251953
1,514735.8124048046,6892231.299798923,24,,,5.0,-17.91650390625
2,514878.89090522175,6892299.550257545,25,,,10.0,-17.087467193603516
3,515047.63791663526,6892381.735310726,26,,,5.0,-17.64037322998047
4,515238.7439295982,6892483.080074229,27,,,12.0,-18.030357360839844
5,515775.6831049741,6892832.239942432,44,,,11.0,-18.621723175048828
6,515949.1196772228,6892925.967104134,45,,,15.0,-17.536407470703125
7,516118.00067902304,6893044.524926875,46,,,16.0,-18.439416885375977
# Image values are a mean over a 3x3 box
# Image: /Volumes/Carbe/Doctorat/BaieDeception/Donnees/Imagerie/TerraSAR-X/DeceptionBay_orbit21_IncAngle40_VVVH/08K0001_20170502T112532_TSX_db.tif
# Shp: /Volumes/Carbe/Doctorat/BaieDeception/Donnees/Imagerie/VectorData/UTM/1704_D_thicknesses_transect_noship_WGS84.shp
