,long,lat,ID_1,Ice,Snow,HH,HV,VH,VV,VV/HH,HV/HH,VH/VV
0,661017.2473950064,6835006.6551543195,5.0,107.0,47.0,-21.62158727645874,-30.925300121307373,-30.13667106628418,-21.163063049316406,1.0379719734191895,0.3428163230419159,0.37197333574295044
1,661011.4080283999,6837018.439142434,6.0,109.0,25.0,-18.72423768043518,-31.04017972946167,-28.48149061203003,-21.33816957473755,0.7465041279792786,0.24593621492385864,0.4467506408691406
2,660037.5878848744,6835007.81421169,7.0,111.0,29.0,-21.053712368011475,-30.890016555786133,-31.48876190185547,-21.36115789413452,0.9605530500411987,0.3224602937698364,0.31642580032348633
3,660009.3751143342,6838021.69396223,8.0,130.0,19.0,-18.139926195144653,-31.021358966827393,-30.607104301452637,-18.991506099700928,0.9030019044876099,0.2269112467765808,0.267776757478714
4,659009.9838395086,6836991.915733043,9.0,143.0,6.0,-22.881853580474854,-32.182068824768066,-28.664896488189697,-20.12878179550171,1.3760286569595337,0.3444860279560089,0.3830467462539673
5,658995.1181117382,6836008.828148362,10.0,126.0,10.0,-22.505970001220703,-30.37755012512207,-29.99436378479004,-23.393566608428955,0.9048776626586914,0.4092995822429657,0.4668646454811096
6,660017.0147615105,6835997.640482187,11.0,110.0,28.0,-22.255713939666748,-31.384971141815186,-30.50792932510376,-23.899168968200684,0.8289721012115479,0.35684072971343994,0.49617210030555725
7,659996.7526381211,6834013.686452272,12.0,120.0,43.0,-21.015381813049316,-31.218583583831787,-30.711264610290527,-20.957136154174805,1.0147815942764282,0.3321744203567505,0.3473711609840393
8,658974.1279834387,6834010.714966813,13.0,125.0,34.0,-23.996059894561768,-31.575610637664795,-30.952303409576416,-22.61343002319336,1.1724756956100464,0.4175248146057129,0.3847998380661011
9,658995.0945642248,6834997.871088594,19.0,111.0,32.0,-20.599308013916016,-30.84970474243164,-31.98127508163452,-20.12432098388672,1.0679316520690918,0.30973342061042786,0.25428640842437744
10,657684.5509852441,6832232.207567633,2.0,115.0,18.0,-23.087058067321777,-31.304521560668945,-30.60493230819702,-22.783353328704834,1.0305109024047852,0.3881099820137024,0.4129881262779236
11,655985.5162936398,6832992.167704271,3.0,106.0,4.0,-22.12435483932495,-30.193474292755127,-30.20355224609375,-21.90474271774292,1.031638503074646,0.39297133684158325,0.38600173592567444
12,657279.230392674,6833489.896729719,4.0,110.0,18.0,-20.143301486968994,-29.453976154327393,-30.90491533279419,-20.998287200927734,0.9090754985809326,0.351188063621521,0.3287147283554077
13,657040.2308844924,6834199.140401586,14.0,124.0,14.0,-21.413044929504395,-31.133346557617188,-30.22378921508789,-22.507319450378418,0.9198824763298035,0.34363478422164917,0.4123932421207428
14,657102.3094854937,6835002.06953205,15.0,120.0,25.0,-20.955710411071777,-30.3403639793396,-31.4117693901062,-22.079660892486572,0.8997524976730347,0.3520635664463043,0.3469895124435425
15,657141.3934544418,6835932.23094252,16.0,123.0,0.0,-20.07960796356201,-30.252561569213867,-31.43087863922119,-21.15776777267456,0.8878342509269714,0.31176435947418213,0.3070174753665924
16,658115.7409256292,6835094.882305268,17.0,102.0,30.0,-21.2015962600708,-31.831061840057373,-33.350892066955566,-21.217210292816162,1.0042243003845215,0.2956872880458832,0.24564531445503235
17,658008.7560684966,6834002.02480611,18.0,99.0,30.0,-21.42383337020874,-29.940991401672363,-30.506529808044434,-22.609174251556396,0.8866493701934814,0.3801998198032379,0.40615856647491455
18,658008.4944816837,6836002.631672813,20.0,130.0,1.0,-21.833863258361816,-30.71904420852661,-30.33212423324585,-22.450363636016846,0.9319272637367249,0.35761794447898865,0.39788928627967834
19,661207.8656433533,6836022.243492487,21.0,133.0,25.0,-20.518677234649658,-32.773449420928955,-29.238152503967285,-21.91136121749878,0.8350649476051331,0.2429981827735901,0.428973913192749
20,660755.1640421872,6833522.60873984,1.0,117.0,32.0,-18.45100998878479,-29.88769769668579,-29.75398540496826,-18.602359294891357,0.9938752055168152,0.28236520290374756,0.276460736989975
21,661325.0816460298,6836028.686295141,3.0,120.0,40.0,-19.654064178466797,-31.10785722732544,-30.96921443939209,-18.707382678985596,1.1117855310440063,0.2689105272293091,0.2521524131298065
22,660019.3130871537,6835003.728839547,4.0,120.0,40.0,-21.18323564529419,-30.91740846633911,-31.496567726135254,-21.605641841888428,0.9529343843460083,0.3259892165660858,0.3200916647911072
23,656997.8479263058,6832240.85451801,6.0,114.0,20.0,-19.14575695991516,-31.195411682128906,-31.351630687713623,-20.00873565673828,0.9306977391242981,0.25454044342041016,0.2691601514816284
24,657006.8192267824,6832554.363848208,8.0,105.0,42.0,-21.49907112121582,-32.740912437438965,-32.56664276123047,-22.772719860076904,0.865019679069519,0.2748606503009796,0.3261846899986267
25,656789.5492050763,6832577.062350854,10.0,115.0,27.0,-22.198290824890137,-32.143704891204834,-31.561589241027832,-22.75627851486206,0.9700014591217041,0.32631558179855347,0.36235153675079346
26,656741.3203800495,6832282.631166086,11.0,120.0,5.0,-21.428322792053223,-32.35451936721802,-31.385881900787354,-22.354483604431152,0.8995133638381958,0.2852109670639038,0.3506724536418915
# Image values are a mean over a 3x3 box
# Image: /Volumes/Carbe/Doctorat/BaieDeception/Donnees/Imagerie/RS2_subAOIs/Kangiqsujuaq/RS2_20160421/RS2_20160421_sub_cal_spk_rat2_TC2.tif
# Shp: /Volumes/Carbe/Doctorat/BaieDeception/Donnees/Imagerie/VectorData/UTM/1604_K_thicknesses_WGS84.shp
