,long,lat,OBJECTID,Snow_thick,Ice_thick,HH,HV,VH,VV,VV/HH,HV/HH,VH/VV
0,515186.56080000004,6892861.2881000005,36.0,19.0,138.0,-18.160831928253174,-30.109851360321045,-31.228530406951904,-18.409423828125,0.9739283323287964,0.2541423439979553,0.23046833276748657
1,515175.4557999996,6892840.293999999,37.0,4.0,143.0,-21.190412044525146,-31.90335512161255,-31.735992431640625,-19.929953813552856,1.1831729412078857,0.2992052137851715,0.2596234083175659
2,515161.47670000064,6892821.292300001,38.0,7.0,139.0,-19.76089596748352,-32.10538387298584,-31.7016863822937,-18.90610694885254,1.1350245475769043,0.25212952494621277,0.22981660068035126
3,515117.94199999975,6892760.158399998,39.0,9.0,142.0,-18.67722749710083,-30.30067205429077,-30.24864912033081,-18.518292903900146,1.0305958986282349,0.26548629999160767,0.2626885771751404
4,515069.0096000006,6892694.210499998,40.0,31.0,120.0,-20.836870670318604,-30.601446628570557,-31.098101139068604,-20.274629592895508,1.084622859954834,0.3282981812953949,0.2918703258037567
5,515034.2742999996,6892609.9448,41.0,13.0,122.0,-20.99907398223877,-31.894946098327637,-31.445419788360596,-19.774075746536255,1.1540608406066895,0.2857189178466797,0.26153331995010376
6,514992.48069999996,6892530.995499998,42.0,2.0,140.0,-19.032100439071655,-31.009092330932617,-29.373559951782227,-20.043213367462158,0.8949480056762695,0.25277262926101685,0.34427109360694885
7,514693.0288000003,6892017.995599999,43.0,0.0,140.0,-17.39682912826538,-31.58961772918701,-32.14666128158569,-17.11445450782776,1.030283808708191,0.19616852700710297,0.18062910437583923
8,515413.3185000001,6893144.616900001,48.0,12.0,142.0,-18.202775716781616,-32.681522369384766,-30.930306911468506,-17.878915071487427,1.038945198059082,0.18901285529136658,0.22232037782669067
9,515445.60429999966,6893180.414200001,49.0,3.0,138.0,-16.777145862579346,-31.006200313568115,-30.738303661346436,-16.817995309829712,0.9931271076202393,0.199024960398674,0.2080356925725937
10,515484.4793999994,6893221.5895,50.0,8.0,134.0,-17.214659452438354,-31.21537685394287,-29.319241046905518,-18.016425371170044,0.9168119430541992,0.20258861780166626,0.2747291624546051
11,515517.4801000011,6893260.175900003,51.0,18.0,126.0,-20.559029579162598,-31.66653871536255,-30.02155065536499,-20.306682586669922,1.0309937000274658,0.2847629487514496,0.3344844579696655
12,515553.8240000002,6893296.4386,52.0,17.0,138.0,-21.233062744140625,-31.683290004730225,-30.695035457611084,-20.91655969619751,1.0508785247802734,0.310637503862381,0.32904842495918274
13,515591.8457000006,6893341.399,53.0,20.0,133.0,-18.0011785030365,-32.44702100753784,-31.908893585205078,-19.149104356765747,0.8777108788490295,0.19051353633403778,0.23184943199157715
14,515632.4060000009,6893389.045299999,54.0,21.0,119.0,-19.641482830047607,-29.839019775390625,-32.27544546127319,-19.740995168685913,0.9867008924484253,0.3096146881580353,0.23730216920375824
15,515676.12100000016,6893430.022500001,55.0,20.0,119.0,-19.938446283340454,-30.76577663421631,-32.688255310058594,-20.260584354400635,0.957920491695404,0.2907785177230835,0.2446090430021286
16,514951.4402000001,6892469.763500002,56.0,3.0,,-19.072929620742798,-30.68131685256958,-30.933046340942383,-19.161460399627686,0.9922537207603455,0.2632732093334198,0.2601015865802765
17,514869.56950000033,6892334.044700001,58.0,1.0,,-17.27062225341797,-32.17529535293579,-29.443764686584473,-16.94390296936035,1.0419371128082275,0.18074184656143188,0.23691558837890625
18,514829.7877999998,6892258.0029,59.0,0.0,,-18.31716775894165,-30.864737033843994,-31.010429859161377,-17.06542134284973,1.1596741676330566,0.23652666807174683,0.20102661848068237
19,514790.50470000046,6892186.642700002,60.0,5.0,,-17.955065965652466,-30.79695224761963,-31.019279956817627,-17.008687257766724,1.119303822517395,0.22921933233737946,0.19815193116664886
20,514746.6043999995,6892110.361099999,61.0,0.0,,-20.413527488708496,-29.959218502044678,-31.721255779266357,-19.209868907928467,1.154110312461853,0.33398470282554626,0.23693138360977173
21,515735.3315000002,6893487.2262,62.0,15.0,,-21.74203395843506,-29.699387550354004,-31.867730617523193,-19.745339155197144,1.362282633781433,0.42639490962028503,0.25006502866744995
22,515838.53660000017,6893602.233800001,64.0,17.0,,-20.52245855331421,-30.81122875213623,-31.266562938690186,-19.86557126045227,1.0775675773620605,0.3079861104488373,0.27648869156837463
23,515891.4600999998,6893666.206599998,65.0,27.0,,-20.112297534942627,-31.543924808502197,-31.78790807723999,-19.94272232055664,1.0173636674880981,0.2687120735645294,0.2591853737831116
24,515954.12179999996,6893740.809700002,66.0,23.0,,-21.29765510559082,-32.13287115097046,-31.063408851623535,-20.47443389892578,1.1033841371536255,0.2901960611343384,0.29921528697013855
25,516021.2448000003,6893818.4432,67.0,25.0,,-23.459770679473877,-33.61309289932251,-31.983826160430908,-22.04038381576538,1.1846415996551514,0.3174348473548889,0.3263610601425171
# Image values are a mean over a 3x3 box
# Image: /Volumes/Carbe/Doctorat/BaieDeception/Donnees/Imagerie/RS2_subAOIs/DeceptionBay/RS2_20180508/RS2_20180508_sub_cal_spk_rat2_TC2.tif
# Shp: /Volumes/Carbe/Doctorat/BaieDeception/Donnees/Imagerie/VectorData/UTM/1805_D_thicknesses_transect_noship_WGS84.shp
