,long,lat,ID_1,Ice,Snow,HH,HV,VH,VV,VV/HH,HV/HH,VH/VV
0,468135.4756369982,6900425.904594194,1.0,145.0,12.0,-17.928013801574707,-30.803077220916748,-32.19017028808594,-17.61740803718567,1.0407867431640625,0.22825782001018524,0.18371398746967316
1,467662.1943279911,6901726.4688309925,4.0,145.0,21.0,-16.72230362892151,-31.11701726913452,-31.302273273468018,-18.363572359085083,0.8274007439613342,0.19006091356277466,0.22244879603385925
2,466002.9450304126,6900016.722122841,5.0,128.0,31.0,-17.96102285385132,-31.97591781616211,-31.801342964172363,-17.78999090194702,1.045936107635498,0.21009612083435059,0.2040662318468094
3,464899.07886364846,6897919.909274008,4.0,145.0,21.0,-19.916924238204956,-31.140942573547363,-31.388065814971924,-19.375442266464233,1.06663179397583,0.27565819025039673,0.25085896253585815
4,462098.5260059305,6896601.263770532,2.0,135.0,1.0,-19.268463850021362,-33.18814754486084,-31.434342861175537,-19.300981760025024,0.9971815943717957,0.19946102797985077,0.24840599298477173
5,468995.0459883977,6901995.343116534,17.0,131.0,8.0,-16.327314376831055,-29.29054021835327,-29.557223320007324,-15.343484878540039,1.120496153831482,0.22175034880638123,0.1949886679649353
6,468992.812711847,6901008.930715667,16.0,125.0,10.0,-15.841830968856812,-28.700122833251953,-28.259108066558838,-16.05123996734619,0.9773384928703308,0.2284945398569107,0.24647194147109985
7,468135.58380732156,6900426.3492352255,14.0,135.0,13.0,-17.928013801574707,-30.803077220916748,-32.19017028808594,-17.61740803718567,1.0407867431640625,0.22825782001018524,0.18371398746967316
8,467005.69305288995,6902005.803529584,15.0,134.0,28.0,-18.5017991065979,-31.969623565673828,-34.086525440216064,-18.79015564918518,1.0671128034591675,0.2407185435295105,0.17353199422359467
9,466997.2572096449,6901013.429997686,13.0,135.0,6.0,-21.646852493286133,-31.553223133087158,-32.273852825164795,-21.472582817077637,1.022559404373169,0.3151196539402008,0.29106438159942627
10,465991.59936625307,6901008.069985961,12.0,126.0,24.0,-19.914826154708862,-30.325171947479248,-32.036945819854736,-19.43225383758545,1.0619099140167236,0.30279016494750977,0.2342347800731659
11,464990.0867926696,6900008.276511783,10.0,126.0,22.0,-22.27989912033081,-32.08279609680176,-31.71015501022339,-21.72402858734131,1.0667113065719604,0.32604268193244934,0.32582032680511475
12,465987.9015547282,6899011.2700776635,11.0,136.0,19.0,-18.897069692611694,-32.37405300140381,-29.50955629348755,-19.38486337661743,0.9467789530754089,0.2095630168914795,0.3137874901294708
13,463965.2179528894,6898723.2494705785,2.0,118.0,27.0,-19.282801151275635,-30.15291690826416,-30.770962238311768,-18.82851243019104,1.0587310791015625,0.2873744070529938,0.2518252730369568
14,463076.8124747657,6898220.822935221,4.0,128.0,12.0,-19.01971936225891,-31.992955207824707,-32.205305099487305,-19.601452350616455,0.9423896074295044,0.22580774128437042,0.2336183339357376
15,461115.69051791885,6896856.344126253,8.0,142.0,0.0,-23.384668827056885,-31.837503910064697,-32.143518924713135,-23.942241668701172,0.9539040327072144,0.38607698678970337,0.3902779817581177
16,461179.7471443392,6896305.226613796,7.0,141.0,0.0,-20.85977077484131,-32.48800277709961,-32.580697536468506,-21.353895664215088,0.9664838314056396,0.2743293046951294,0.2769073247909546
17,462206.4440958885,6895811.2505943095,6.0,138.0,2.0,-18.703207969665527,-31.929147243499756,-32.88412094116211,-20.698120594024658,0.7891805171966553,0.22068561613559723,0.25021156668663025
18,462964.54086383944,6896988.043697638,5.0,130.0,0.0,-19.706679582595825,-32.23660469055176,-30.48178195953369,-18.5212504863739,1.1487767696380615,0.2370145320892334,0.2534913718700409
19,464013.884143912,6897962.89283817,3.0,118.0,22.0,-19.363138675689697,-29.04860496520996,-32.10725784301758,-18.88731598854065,1.056082844734192,0.3276687562465668,0.21658141911029816
20,466131.56548844726,6897830.638613795,1.0,135.0,0.0,-21.818101406097412,-30.217106342315674,-31.96075439453125,-23.242764472961426,0.8770958185195923,0.39512524008750916,0.3802298605442047
21,465145.74920700374,6899063.9944599215,9.0,111.0,24.0,-18.052964210510254,-31.512739658355713,-30.689167976379395,-17.512420415878296,1.0665489435195923,0.21223579347133636,0.2180110663175583
# Image values are a mean over a 3x3 box
# Image: /Volumes/Carbe/Doctorat/BaieDeception/Donnees/Imagerie/RS2_subAOIs/Salluit/RS2_20170412/RS2_20170412_sub_cal_spk_rat2_TC2.tif
# Shp: /Volumes/Carbe/Doctorat/BaieDeception/Donnees/Imagerie/VectorData/UTM/1704_S_thicknesses_WGS84.shp
